Title,Plot
Susan Slept Here,"Mark Christopher (Powell) is a successful thirty-five-year-old Hollywood screenwriter who has suffered from partial writer's block since winning an Academy Award and has been unable to produce a decent script. One Christmas Eve, he receives an unexpected and very unwanted surprise present.
Vice Squad Sergeant Sam Hanlon (Herb Vigran) brings seventeen-year-old Susan Landis (Reynolds) to Mark's luxurious apartment. Susan had been abandoned by her mother and was arrested for vagrancy and hitting a sailor over the head with a beer bottle. Not wanting to keep her in jail over the holidays and aware that Mark was interested in writing a script about juvenile delinquency, the kindhearted cop decides to bend the rules (much to the disapproval of his partner). Hanlon suggests that Susan stay with Mark until her arraignment the day after Christmas.
Mark is naturally appalled, but is eventually persuaded to take the girl in. This doesn't go over too well with his long-time fiancée, Isabella Alexander (Anne Francis), the demanding daughter of a U.S. Senator. Isabella's jealousy grows when Susan develops a crush on Mark. Mark's secretary Maude Snodgrass (Glenda Farrell), his best friend Virgil (Alvy Moore), and his lawyer Harvey Butterworth (Les Tremayne) do their best to keep the situation under control.
When Harvey lets slip that Susan will likely stay in a juvenile detention facility till she is 18, Mark impulsively takes her to Las Vegas and marries her. The marriage, he explains to his friends, will last for just long enough to convince the judge that Susan has made good. To avoid consummating the marriage, he takes Susan out dancing till she collapses with fatigue, and brings her back to Hollywood.
Mark then slips away to a cabin in the Sierra Nevada mountains to work on his script with Maude. The marriage is reported in the newspapers. Enraged Isabella confronts Susan, but is hauled away by Hanlon and his partner.
Some weeks later, Isabella finds Mark in the cabin. She has calmed down, but Mark says he thinks they are not really suited to each other. Susan also arrives, determined to win Mark to a real marriage. She is encouraged and supported by Maude, who still regrets leaving her childhood love behind for an attempted acting career in Hollywood. Susan refuses to sign the annulment papers, while Mark still will not consummate the marriage.
When Susan is seen eating strawberries and pickles, Mark's friends assume the worst: that she is pregnant. Susan eventually confesses to Mark that she just likes that combination. Mark has his own confession: he is in love with Susan but is worried by their age difference. Susan tells him all the reasons that they should stay married and pulls him into the bedroom."
The Earthling,"Patrick Foley (Holden) is dying of cancer and decides to return to the outback where he was born. He has stopped taking his medicine and is at peace with his decision to die alone in the woods. On his journey, he notices a family camping. From a neighbouring peak, Foley watches as Shawn (Schroder), a 10-year-old boy, begins collecting firewood. The father attempts to move the camper away from the edge. Unfortunately, the camper rolls off the cliff and crashes to the bottom of the cliff with Shawn's parents inside. Shawn climbs down from the cliff finding the camper crushed upside down and realizes his parents are dead. Foley has an ethical dilemma: take the stranded ten-year-old back to civilization, and lose his own wish to die where he was born, or continue his personal mission and let the boy die alone in the wilderness. He decides to take the boy with him, and teaches him along the way how to survive in the wilderness. A striking moment is teaching the boy to tickle trout in a stream with your fingers, to lull them to be caught. A strong bond grows between the two, and when Foley finally dies, Shawn is equipped to travel out of the outback alone."
The Soul's Cycle,"Nadia, the daughter of a nobleman, rejects ancient Greece's senator Theron's love; so he has her and her lover, Lucian thrown into a burning crater. As punishment for this sin, the gods decree that he will roam the earth as a lion until he can right his wrong. A few millennia later, Nadia is now Agnes, the daughter of a millionaire, and Lucian is Arthur, a Wall Street broker."
Puppet Master II,"The film begins in 1990, when André Toulon's grave is being excavated in Shady Oaks, a cemetery in the backyard of the Bodega Bay Inn. We see Pinhead digging Andre’ Toulon's grave. Pinhead opens up the coffin, climbs out, and pours a vial of the potion on the skeleton, with Tunneler, Leech Woman, Blade and Jester watching. After pouring the formula, the skeleton raises its arms, indicating that André Toulon is alive again. A few months later, a group of parapsychologists, led by Carolyn Bramwell, are sent to the hotel to investigate the strange murder of Megan Gallagher and the lunatic ravings of a now insane Alex Whitaker. It is explained that Megan's brain was extracted through her nose (by Blade), and Alex, suspected of the murder, is now locked up in an asylum. While at the asylum, he begins to experience terrible seizures and premonitions.
That very evening, one of the investigators, Camille Kenney, decides to leave after spotting two of the puppets in her room. However, while packing, Pinhead and Jester attack and kidnap her. The next day, Carolyn talks to Michael about the disappearance of his mother, due to finding Camille's belongings and car still at the hotel. That very evening Carolyn's brother Patrick (Gregory Webb) gets his head tunneled by Tunneler. Another investigator, Lance (Jeff Weston) runs in, knocks Tunneler out, and kills him by crushing him with a lamp. After dissecting Tunneler, they realize that the puppets are not remote controlled, but rather that their gears and wood are run by a chemical. From this, they deduce that the chemical must be the secret of artificial intelligence.
The next morning, while still trying understand the puppet's motivation, a man named Eriquee Chaneé comes in, stating that he had inherited the hotel, and that he was in Bucharest while the investigators moved in. Afterwards, Camille's son Michael travels to the hotel, trying to figure out what happened to his mother. That very evening, Blade and Leech Woman go to a local farmer's house, where Leech Woman kills the husband, Matthew, but gets thrown into the fireplace by the wife, Martha. Just before Martha shoots Blade with her shotgun, a new puppet, Torch, walks in and burns Martha with his flame-throwing arm. It is then revealed that Eriquee is really André Toulon and he created Torch after being brought back to life, and he believes that Carolyn is a reincarnation of his now deceased wife, Elsa.
Toulon then has a flashback of him and Elsa buying the formula of eternal life from a Cairo Merchant. The next morning, Michael and Carolyn go into town to find Camille and to find out more about Eriquee Chanee. During this, it is revealed that the puppets are killing because they are growing weaker and need the secret ingredient that makes that formula: brain tissue. Carolyn finds no records of Eriquee Chaneé, and starts to connect Eriquee to the disappearance of Camille and the death of her brother, Patrick. At the same time, she also realizes she has a crush on Michael. That same evening, Carolyn and Michael kiss, and have a little romantic interlude, as do Lance and Wanda, the remaining two investigators. While Wanda goes back to her room, Blade kills Lance, killing Wanda afterwards. After killing them, he uses their tissue for the formula.
During this, Carolyn sneaks into Eriquee's room, and finds two life sized mannequins in the wardrobe. Eriquee sneaks up behind Carolyn, and still thinking she is Elsa, ties her up. Michael, hearing her screams, wakes up and goes to rescue her, all while fighting off Torch, Pinhead, and Blade. On his way up, the dumbwaiter opens, revealing Jester and Michael's dead mother, Camille. Toulon transfers his soul into one of the mannequins, and explains that after seeing Carolyn, he decided for them to live together forever. The puppets, upon hearing this, realize Toulon used them for his evil needs, and start torturing him. Michael then breaks into the room, saves Carolyn, and the two run out of the hotel. Up in the attic, Torch sets Toulon on fire, causing him to fall out a window and die. Afterward, Jester goes back to Camille's body with the remaining of the formula.
Several days later, it is revealed that Camille's soul has been put in the woman-sized mannequin, and is now running her own little puppet show. Blade, Pinhead, and Jester, are locked up in a cage, leaving Torch free. Camille takes them to the Bouldeston Institution for the mentally troubled tots and teens. Camille puts the puppets in the back of her car, and Torch up on the passenger's seat, and drives off, leaving this movie as a cliff-hanger."
Flamingo Road,"Lane Bellamy is a carnival dancer stranded in the small town of Boldon City in the Southern United States. She becomes romantically involved with Fielding Carlisle, a deputy sheriff whose career is controlled by Sheriff Titus Semple, a corrupt political boss who runs the town. Semple dislikes Bellamy and mounts a campaign against her. She has difficulty finding work and is arrested on a trumped-up morality charge. Meanwhile, Carlisle is the political machine's choice for state senator, and to portray the perfect political family, he marries his long-time girlfriend, Annabelle Weldon.
Sad that the love of her life has divorced himself from her, Bellamy finds work as a hostess at a roadhouse run by Lute Mae Sanders. There, she meets Dan Reynolds, a businessman who supports the corrupt Semple so long as it is profitable. She charms Reynolds into marrying her and the couple moves to the town's best neighborhood, Flamingo Road.
As a kingmaker in the state, Semple decides to run Carlisle for governor and unseat the incumbent. This is too much even for Reynolds and now he decides to oppose Semple. When Carlisle, who has a weakness for alcohol, also begins to show his limits in cooperating with Semple, Semple flies into a rage and abandons him, destroying Carlisle's career. Then Semple makes himself the candidate. At this, Reynolds grows stronger in his opposition. So Semple arranges to have Reynolds framed.
Later a drunken Carlisle, who knows what's happening but feels the situation is hopeless, visits the mansion on Flamingo Road and commits suicide practically in front of Bellamy. This gives Semple another weapon in his bid to ruin Bellamy and her husband, who has now been indicted for graft. Bellamy confronts Semple with a gun and demands he phone the attorney general and confess everything, but a physical struggle ensues and she shoots him dead. At the end, Bellamy is in prison awaiting a ruling and Reynolds indicates he will stick by her."
The Furies,"T. C. Jeffords is a wealthy cattle baron who feels the Herrera family is squatting illegally on his property, The Furies. T.C.'s beloved daughter, Vance, is as obsessed with wealth and every bit as ruthless as her father, has a secretly close bond with Juan Herrera. She wants a proper husband who can run the giant ranch with her once T.C. is gone. She falls in love with Rip Darrow, who holds a grudge against T.C., believing a portion of The Furies land to be rightfully his. Vance is shocked when Rip accepts a $50,000 bribe from T.C. to permanently get out of her life. Rip opens a bank in town near a saloon he owns called ""The Legal Tender"".
T.C. is so self-possessed, he pays bills with ""T.C."" notes rather than actual dollars. One day, he brings home a woman to The Furies, Flo Burnett, who wants to marry T.C. for his money. Vance comes to resent this intruder so much, she attacks Flo with a pair of scissors, disfiguring her in a fit of rage. Now that he hates the daughter he once cherished, T.C. cuts off all contact with her. He decides to run off her friends, the Herreras, who engage T.C.'s men in a violent gunfight. When they surrender, T.C., he cruelly has Juan Herrera hanged.
Swearing vengeance, Vance travels about the west buying up ""T.C."" notes. Her father's wealth is eroding, to the point that he even goes to Flo in a vain attempt to borrow $50,000 he needs to save The Furies. Vance conspires with her old lover Rip to deceive T.C., even giving him false hope that a wealthy investor is lending him the money. Upon discovering what his daughter has done, T.C. congratulates her on her cunning. He declares it's not too late for him to ""start from scratch"", but before he can, the bereaved mother of Juan Herrera guns him down."
Sahara,"The crew of an M3 Lee tank, attached to the British Eighth Army, commanded by U.S. Army Master Sergeant Joe Gunn (Humphrey Bogart), and nicknamed Lulu Belle, become separated from their unit during a general retreat from German forces after the fall of Tobruk. Heading south across the Libyan Desert to rejoin their command, they come across a bombed-out field hospital, where they pick up a motley collection of stragglers, among them British medical officer Captain Halliday (Richard Nugent), four Commonwealth soldiers and Free French Corporal Leroux (Louis Mercier). Halliday, the only officer, cedes command to Gunn.
The group comes upon Sudanese Sergeant Major Tambul (Rex Ingram) and his Italian prisoner, Giuseppe (J. Carrol Naish). Tambul volunteers to lead them to a well at Hassan Barani. Gunn insists that the Italian be left behind, but, after driving a few hundred feet, relents and lets him join the others.
En route, Luftwaffe pilot Captain von Schletow (Kurt Kreuger) strafes the tank, seriously wounding Clarkson (Lloyd Bridges), one of the British soldiers. The German fighter aircraft is shot down and von Schletow is captured. Arriving at Hassan Barani, the group finds the well is dry. Clarkson succumbs to his wounds and they bury him there.
Tambul guides them to the desert well at Bir Acroma, but it is almost dry, providing only a trickle of water, and the group must delay their departure until they can collect as much as they can. When German scouts arrive soon afterwards, in a half-track, Gunn sets up an ambush.
Gunn finds out from one of the two survivors that their mechanized battalion, desperate for water, is following close behind. He persuades the others to make a stand to delay the Germans while Waco takes the half-track in search of reinforcements. The two Germans are released to carry back an offer: ""food for water"", even though there is hardly any water left.
When the Germans arrive in force, Gunn changes the deal to ""water for guns"". The well has completely dried up by then but a battle of wills begins between Gunn and Major von Falken (John Wengraf), the German commander. Gunn keeps up the pretense that the well has much water and negotiates to buy time. The Germans attack and are beaten off again and again, but one by one, the defenders are killed.
During one attack, von Schletow tries to escape, stabbing Giuseppe in the process, but Giuseppe manages to warn Gunn before he dies. Tambul chases von Schletow down and kills him, at the cost of his own life. After a second parley, von Falken has his men shoot Leroux in the back as the Frenchman returns to his own side. Gunn and his men fire back, killing von Falken.
The Germans' final assault turns into a full-blown surrender as they drop their weapons and claw across the sand towards the well. To Gunn's shock, he discovers that a German shell that exploded in the well has tapped into a source of water. Gunn and Bates (Patrick O'Moore), the only other Allied survivor, disarm the Germans while they drink. As they are marching their prisoners east, Gunn and Bates encounter Allied troops guided by Waco (Bruce Bennett). They receive news of the Allied victory at the First Battle of El Alamein, turning back Rommel's Afrika Korps."
Fragments,"While in a restaurant, Carla Davenport, the restaurant cashier; Charlie Archenault, a driving-school teacher; Bruce Laraby, an emergency room physician; Annie Hagen, her father, and her best friend, Jimmy Jasperson suddenly hear gunshots. Annie and Jimmy retreat under a table as a suicidal gunman shoots several people (including Annie's father) and then himself. The film shows the aftermath as these five traumatized people struggle to regain their trust in the ordinary world.[4]"
Entropy,"A largely autobiographical film about director Phil Joanou, covering his early film career, his relationships, including a very short-lived marriage."
The Only Living Boy in New York,"Thomas Webb (Callum Turner) is a college graduate who is still trying to figure out what he wants to do with his life and has a one-sided crush on his friend Mimi (Kiersey Clemons). One day, he meets his new neighbour, W.F. (Jeff Bridges), with whom he suddenly feels a connection. Thomas begins to spend time with W.F. and tells him about his life.
When Thomas hangs out in a bar with Mimi one day, they see his father, Ethan (Pierce Brosnan) together with another woman (Kate Beckinsale). Fearing that the affair would take a toll on his already mentally unstable mother, Judith (Cynthia Nixon), Thomas starts to follow and finally confronts the woman. He is surprised when the other woman, Johanna, actually knows who Thomas is. She tells him that she is a freelance editor working with his father and knows Thomas from his picture in Ethan's office. After some time following and pleading with her to leave his father, Johanna mentions that Thomas is still a child who doesn't know anything, including the fact that he actually wants to sleep with her. Telling this to W.F., W.F. asks if he really wants to sleep with her and Thomas reluctantly says that he does.
When attending a friend's party, Thomas bumps into Johanna with another man. Having an argument after Thomas makes a crude remark about her, Thomas surprisingly kisses her which ends up with them making out passionately. An affair starts and Thomas begins to fall for Johanna. He tells her that since he was a child, he has aspired to be a writer but Thomas's dream was crushed when his father told him that his essays were only serviceable.
One day, when Thomas looks for W.F. in his apartment, he finds a manuscript titled The Only Living Boy in New York and that W.F. is actually a successful (although somewhat reclusive) writer. Thomas shows him his essays, and W.F. tells him that he does have a talent for writing. Thomas invites W.F. to a party at his father's publishing company to which the writer reluctantly agrees. Thomas goes together with Mimi who begins to show feelings towards him. She asks him if he is having an affair with Johanna, which he denies. Thomas sees W.F. at the party and wants to introduce him to his mother, but W.F. suddenly disappears. Later, W.F. meets with Johanna and warns her not to hurt Thomas.
Johanna ends her relationship with Thomas, because Ethan has proposed to her. Angered by this, Thomas confronts his father while Johanna tries to dissuade him. Ethan is angered and leaves the room. Johanna tearfully tells Thomas that she really is in love with Ethan. She tells him that Thomas really doesn't know anything, and shows a picture of Thomas in a tennis match, with W.F. captured in the background.
Thomas confronts W.F. and he tells him that he was a close friend of his parents. As Ethan is infertile, he and Judith asked W.F. for a favor: to conceive a child with Judith. Spending a drunken night together, W.F. realized that he is in love with Judith, and so he left her. He has always watched Thomas from afar, hoping to connect with his son. Upon returning home, Thomas finds that Ethan has already ended his relationship with Judith. He tells his mother that he's been in contact with W.F., and that he knows Judith has been in love with W.F. for 25 years.
One year later, Thomas is working in a bookstore, while trying to get his writing published. Ethan comes to the bookstore and the two catch up. Ethan offers to help Thomas using his connections, which Thomas declines. Thomas asks if Ethan is still in contact with Johanna, and he says no but admits he's lying. Thomas finds Judith at a reading, listening while W. F. reads The Only Living Boy in New York. Thomas watches them and smiles, as his mother has finally found her happiness."
Home Alone 2: Lost in New York,"In Chicago, the McCallister family is preparing for a Christmas vacation in Miami. On the night before their departure, the entire family gathers at Peter and Kate's home, where their youngest son, Kevin, sees Florida as contradictory to Christmas, on his opinion of the lack of Christmas trees in Florida. During the school Christmas pageant, Kevin's older brother Buzz humiliates him during his solo, causing Kevin to retaliate, thereby ruining the performance. While Buzz fakes an apology to Kevin in front of the McCallisters (who are convinced it is sincere), Kevin refuses to apologize to Buzz and storms to the third floor of the house. Prior to the pageant, Peter has unknowingly caused the alarm clock to reset; consequently, the family once again oversleeps. In the confusion they have to rush to reach the airport on time, Kevin falls behind everyone else, and mistakenly boards a flight bound for New York City while trying to replace the batteries for his Talkboy and carrying Peter's bag containing his wallet and a large amount of money; upon arrival in Miami, Kate realizes that Kevin is missing again. In New York, Kevin tours the city and meets a homeless woman tending to pigeons at Central Park, where he runs off. Kevin goes to the Plaza Hotel, where he tantalizes the staff into checking in with Peter's credit card, knowing the hotel takes Visa.[5]
On Christmas Eve, Kevin tours the city in a limousine and visits a toy store where he meets its philanthropic owner, Mr. Duncan. Kevin learns that the proceeds from the store's Christmas sales will be donated to a children's hospital. Kevin donates $20 to the hospital. As a token of appreciation, Mr. Duncan offers Kevin a pair of ceramic turtledoves as a gift, instructing him to give one to another person as a sign of eternal friendship. After running into Harry and Marv, who have recently escaped from prison and are now called ""The Sticky Bandits"", Kevin retreats to the Plaza Hotel. The hotel's concierge, Mr. Hector, maniacally confronts Kevin about the credit card, which has been reported stolen. Kevin flees after evading Mr. Hector, but is captured by Harry and Marv. The duo discuss plans for breaking into the toy store that night. Kevin manages to escape by pinching a woman in front of him, which results in the woman attacking the duo. [5]
Kevin's family travels to New York after tracking the whereabouts of the stolen credit card, and Kate searches the city for Kevin. Meanwhile, Kevin goes to his uncle Rob's townhouse, only to find the house vacant and undergoing renovations, while Rob and his family are in Paris. At Central Park, he encounters and befriends the pigeon lady. They go to Carnegie Hall, where an orchestra is performing. The pigeon lady explains how her life collapsed and how she dealt with it by taking care of the pigeons in the park. Kevin gives the pigeon lady some advice and promises that he will be her friend.[5]
After remembering what the bandits said, Kevin returns to the townhouse and rigs it with numerous booby traps. Kevin arrives at the toy store during Harry and Marv's robbery and throws a brick through the window, setting off the store's alarm. Kevin then lures the duo to the townhouse, where he springs the traps and Harry and Marv suffer various injuries. When the duo chase Kevin around the townhouse, he escapes and calls the police. Harry and Marv catch him and take him down to Central Park to kill him, but the pigeon lady sneaks in and throws birdseed on the duo, and the pigeons storm in to incapacitate them. Kevin sets off fireworks he had bought earlier to signal the police. The police arrive and arrest the bandits. At the toy store, Mr. Duncan finds a note from Kevin attached to the brick, explaining about what happened.[5]
Kate, still searching for Kevin on foot, remembers his fondness for Christmas trees. After observing Kevin making a wish at the Rockefeller Center Christmas Tree, Kate meets him there and they reconcile. On Christmas Day, a truckload of gifts arrive at the McCallisters' hotel room from the toy store. Kevin and Buzz reconcile, and Buzz allows him to open up the first present. Kevin goes to Central Park to give the pigeon lady the second turtledove. At the Plaza, Buzz receives the bill for Kevin's stay from Cedric and shows it to Peter. Peter suddenly shouts out, ""Kevin, you spent $967 on room service?!"" at which point Kevin runs off.[5]"
Fugitive Lady,"The wealthy industrialist Ralph Clementi (Eduardo Ciannelli) after being released from a tavern in a drunken state he leaves his car near Rome, but came close to Lake Nemi , not noticing the broken road, he plunges into a ravine: the Ralph dies. Since he had taken out insurance on the life of himself in the amount of £100,000, his wife Barbara (Janis Paige) is going to collect the prize of the policy. Jack Di Marco (Tony Cento), insurance investigator, also thanks to the half-sister of the victim, Esther (Binnie Barnes), which appears detached from the sister-in-law and her fake pain, investigates the history of the protagonists. Esther secretly harbored feelings for her half-brother, now no longer young, but Ralph was in love with Barbara, a singer in nightclubs, and he married her. But over time the affection of Barbara at her husband had been reduced to a forced patience; in her life she had returned to her former lover, Jim West (Massimo Serato). Discovered by Ralph, she tried to get a divorce from him, but the man denied the satisfaction. Unable to separate from him legally, she decided to get rid of him. In a stormy night, she led a drunk Ralph to get into the car; two exchanged signs were the cause of the accident. Jim, who was also unaware of the intent of the fact, thanks to a confession of the villa caretaker, he feels that in planning the incident was Barbara. With these, disgusted about the perfidy of woman abandons her, she shoots him to death behind him. At the sight of Jack, who secretly has witnessed the murder, Barbara flees from the villa by car, but perishes in the same incident, which she herself organized, that happened to her husband."
Max Steel,"Max Steel is an in-depth ""origin"" story. The plot chronicles the adventures of teenage Max McGrath who lost his father & has been living with his mother and moving from town to town. Finally they reached back to their old place, and alien companion Steel, who is symbiotically bonded and who utilizes a unique form of esoteric energy to become the turbo-charged superhero Max Steel. As these two unlikely friends struggle to accept their oddly connected fates, they begin to uncover unimaginable secrets, working together to find the truth, and fighting the mysterious forces threatening their world."
Chow Hound,"A large bulldog bullies two unwilling parties—a frightened cat and a tough-talking mouse—into various scams to obtain dinner from various residences. The scheme involves the dog, who forever complains that he is ""starving,"" using the cat to pose as the pet for three residents and an exhibit at a municipal zoo. The cat poses as (in order of appearance):
He then starts to complain that ""week in, week out, it's the same thing; it's too slow!"" He then sees a sign advertising a reward for lost animals and gets a sinister idea: holding the cat hostage for weeks, the dog accurately anticipates that the cat's ""owners"" will post rewards in the newspaper. ""I've got plans for you!"" the dog snarls.
The bulldog reads the missing animals article in the newspaper for the addresses and reward amounts from the owners and prepares to execute his big scam (telling his cat comrade ""C'mon stupid; this is the payoff!"") The bulldog returns the cat to each of his masters, collects the reward and then reclaims his cat by means of a trick-bed, the largest of the rewards coming from the zoo. The dog, gloating that he is now ""set for life"" and will ""never be hungry again,"" uses his ill-gotten gains to purchase a butcher shop, where ""acres and acres"" of meat hang from the ceiling.
The final scene takes place at a ""dog and cat hospital"". The bulldog's gluttony has gotten the better of him, as his overindulgence on meat has rendered him grossly obese and unable to move a muscle. After two doctors diagnose ""a distinct case of overeating"" and depart from the operating room, two visitors march in: the cat and the mouse. The cat—speaking for the only time in the film—menacingly says, ""This time, we didn't forget the gravy."" The nervously-perspiring dog mutters ""no"" several times but is helpless to stop them as the mouse jams a large funnel into the dog's mouth and smiles as the cat begins force-feeding the dog from an institutional-sized canister of gravy as the picture irises out over the sound of the dog gurgling; with the cat and mouse finally getting their revenge."
Men with Wings,"In 1903, the Wright Brothers set the scene for aviation's advances and influence barnstormer, Pat Falconer (Fred MacMurray) and his friend, engineer Scott Barnes (Ray Milland). Falconer marries childhood sweetheart Peggy Ransom (Louise Campbell) although Barnes also loves her, but is unwilling to jeopardize his relationship with his friend.
During World War I, Falconer becomes a fighter pilot and after the war continues to fly by ""the seat-of-his-pants"" rather than do the methodical work of flight research like Barnes. As the 1930s come to a close, restless Falconer leaves his family and friend behind, taking off for China to fight Japanese invaders."
The Aristocats,"In Paris 1910, mother cat Duchess and her three kittens, Berlioz, Marie and Toulouse live with retired opera diva Madame Adelaide Bonfamille, and her English butler, Edgar. One day while preparing her will with lawyer Georges Hautecourt, Madame declares her fortune to be left to her cats until their deaths, and thereafter to Edgar. Edgar hears this through a speaking tube, and plots to eliminate the cats. Therefore, he sedates the cats by putting sleeping pills in a milk mixture intended for them, and enters the countryside to abandon them. There, he is ambushed by two hounds named Napoleon and Lafayette, and the cats are stranded in the countryside, while Madame Adelaide, Roquefort the mouse and Frou-Frou the horse discover their absence.
In the morning, Duchess meets an alley cat named Thomas O'Malley, who offers to guide her and the kittens to Paris. The group briefly hitchhikes in a milk truck before being chased off by the driver. Later, while crossing a railroad trestle, the cats narrowly avoid an oncoming train, but Marie falls into a river and is saved by O'Malley, who in turn has to be rescued himself by two English geese, Amelia and Abigail Gabble, who accompany the cats to Paris. Edgar returns to the country to retrieve his possessions from Napoleon and Lafayette, as the only evidence that could incriminate him.
Travelling across the rooftops of the city, the cats meet O'Malley's friend Scat Cat and his musicians, who perform the song Ev'rybody Wants to Be a Cat. After the band has departed, O'Malley and Duchess converse on a nearby rooftop while the kittens listen at a windowsill. Here, Duchess' loyalty to Madame prompts her to decline O'Malley's proposal of marriage. Duchess and the kittens return to Madame's mansion, but Edgar places them in a sack and prepares to ship them to Timbuktu; whereupon they direct Roquefort to retrieve O'Malley. He does so, and O'Malley returns to the mansion, instructing Roquefort to locate Scat Cat and his gang. This done, the alley cats and Frou-Frou fight Edgar, while Roquefort frees Duchess and the kittens. At the end of the fight, Edgar is locked in his own packing-case and sent to Timbuktu himself. Madame Adelaide's will is rewritten to exclude Edgar, with Madame remaining ignorant of the reason for Edgar’s departure. After adopting O’Malley into the family, Madame establishes a charity foundation housing Paris' stray cats (represented by Scat Cat and his band, who reprise their song)."
Birds Anonymous,"The short opens with Sylvester once again attempting to catch and eat Tweety, this time succeeding and closing the blinds to hide the evidence. Before he can eat Tweety, however, he is interrupted by a crimson, erudite, milquetoast cat (named ""Clarence"" or ""Sam"" in some sources but unnamed in the short itself), who tells him that his constant cravings for Tweety are a sign of profound personal weakness, and that the only way for him to overcome this weakness is to kick the habit for good. Believing that he is in need of help, Sylvester proudly joins ""Birds Anonymous"", a group of cats who have banded together to overcome their addictions to birds. Sylvester lives by this motto: ""Birds is strictly for the birds!""
However, Sylvester's resolve begins to break down after a short time, primarily due to constant temptation since he still lives in the same house as Tweety. The temptations begins to grow even more after he hears TV commercials featuring a stuffed turkey and bird-themed songs on the radio. Sylvester valiantly makes many attempts to control his baser urges, even physically chaining himself to an iron radiator at one point. After Tweety asks the cat: ""Don't you wike me anymore?"" Sylvester replies: ""I think... I think... I think you're... I think you're... DELICIOUS!"" and yanks the radiator out of the floor as he makes another grab for Tweety, only to be stopped by his cat friend again (with a plunger to his mouth) who expressed concern that Sylvester was weakening. Sylvester admits he did and thanks his friend for the intervention.
Sylvester is tortured by insomnia that night, and eventually succumbs to his basic instincts to try to grab Tweety, but is stopped again when his cat friend pours alum in his mouth. Sylvester then attempts to literally drink Tweety through a straw but fails. Ashamed of his weakness, Sylvester collapses into sobs (""I can't stand it! I gotta have a bird! I'm weak! I'm weak, but I don't care! I can't help it! After all, I am a pussycat!""), but the cat friend consoles him, telling him severe withdrawal symptoms are all part of the process, and that if he stays with the ""Birds Anonymous"" program, he will eventually succeed and come to love birds, as he does. However, when the cat kisses Tweety to prove his point, years of his denial take their toll and the B.A. cat attempts to devour Tweety himself, this time with Sylvester restraining him and telling him to control himself.
Tweety, escaping to a nearby counter, watches and sums up the whole affair with a shrug: ""Like I said before: Once a bad ol' puddy tat, always a bad ol' puddy tat!"""
